Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/EdTimeTable,453,453,0,"100.00"
/EdTimeTable/.settings,5,5,0,"100.00"
/EdTimeTable/assets,3916,3916,0,"100.00"
/EdTimeTable/bin,15148,15148,0,"100.00"
/EdTimeTable/bin/classes/app/startup,230,230,0,"100.00"
/EdTimeTable/bin/classes/com/selp/edtimetable,426,426,0,"100.00"
/EdTimeTable/bin/classes/general/timetable,808,808,0,"100.00"
/EdTimeTable/bin/classes/user/timetable,1165,1165,0,"100.00"
/EdTimeTable/bin/dexedLibs,1907,1907,0,"100.00"
/EdTimeTable/bin/res/crunch/drawable-xxhdpi,181,181,0,"100.00"
/EdTimeTable/doc,7501,7501,0,"100.00"
/EdTimeTable/gen/com/selp/edtimetable,165,165,0,"100.00"
/EdTimeTable/libs,4267,4267,0,"100.00"
/EdTimeTable/res/drawable-xxhdpi,253,253,0,"100.00"
/EdTimeTable/res/layout,793,793,0,"100.00"
/EdTimeTable/res/menu,50,50,0,"100.00"
/EdTimeTable/res/values,69,69,0,"100.00"
/EdTimeTable/res/values-sw600dp,8,8,0,"100.00"
/EdTimeTable/res/values-sw720dp-land,9,9,0,"100.00"
/EdTimeTable/src/app/startup,436,436,0,"100.00"
/EdTimeTable/src/com/selp/edtimetable,775,775,0,"100.00"
/EdTimeTable/src/general/timetable,1550,1550,0,"100.00"
/EdTimeTable/src/user/timetable,2059,2059,0,"100.00"
